ip_1,ip_2,shared_targets_count,jaccard_overlap,timing_similarity,ua_similarity,endpoint_similarity,failure_similarity,composite_score
103.110.106.83,103.86.146.204,2,0.1538,0.9568,1.0,1.0,0.875,0.8918
185.103.125.152,185.215.93.181,2,0.1667,0.7504,1.0,1.0,1.0,0.8917
103.239.128.39,103.26.203.139,3,0.1579,0.8807,1.0,1.0,0.9286,0.8917
103.147.240.254,103.90.6.198,2,0.1429,0.9578,1.0,1.0,1.0,0.8916
103.52.10.178,103.56.117.131,2,0.1538,0.8619,1.0,1.0,1.0,0.8916
185.135.125.129,185.235.114.58,2,0.1429,0.957,1.0,1.0,1.0,0.8914
103.109.133.196,103.222.244.78,3,0.1667,0.8525,1.0,1.0,0.8611,0.8913
185.231.78.214,185.55.210.114,1,0.1429,0.9563,1.0,1.0,1.0,0.8913
103.47.113.12,103.81.65.34,3,0.1429,0.9563,1.0,1.0,1.0,0.8913
185.26.249.46,185.49.210.34,2,0.1429,0.9561,1.0,1.0,1.0,0.8912
103.192.230.52,103.62.140.134,3,0.1429,0.966,1.0,1.0,0.986,0.8911
103.162.240.211,103.222.244.78,3,0.15,0.9555,1.0,1.0,0.9167,0.8911
185.228.31.57,185.52.220.178,2,0.1538,0.8593,1.0,1.0,1.0,0.8911
185.109.8.24,185.222.206.165,2,0.1538,0.8586,1.0,1.0,1.0,0.891
185.39.28.43,185.75.184.50,2,0.1429,0.9545,1.0,1.0,1.0,0.8909
185.133.190.107,185.59.129.57,2,0.1538,0.9521,1.0,1.0,0.875,0.8909
103.49.194.187,103.86.85.236,2,0.1538,0.9416,1.0,1.0,0.8889,0.8909
185.233.163.121,185.72.134.244,2,0.1429,0.9534,1.0,1.0,1.0,0.8907
185.132.134.169,185.195.179.177,1,0.1429,0.9531,1.0,1.0,1.0,0.8906
103.213.55.196,103.228.22.29,2,0.1538,0.9819,1.0,1.0,0.8333,0.8906
103.72.226.141,103.97.237.124,2,0.1429,0.9525,1.0,1.0,1.0,0.8905
103.18.7.159,103.206.120.121,2,0.1429,0.9523,1.0,1.0,1.0,0.8905
103.123.130.7,103.93.129.179,2,0.1429,0.9518,1.0,1.0,1.0,0.8904
185.193.95.46,185.26.249.46,2,0.1429,0.9513,1.0,1.0,1.0,0.8903
185.123.253.125,185.20.40.68,2,0.1538,0.855,1.0,1.0,1.0,0.8902
185.236.137.183,185.51.236.7,2,0.1667,0.826,1.0,1.0,0.8889,0.8902
103.181.79.42,103.243.174.78,2,0.1538,0.9799,1.0,1.0,0.8333,0.8902
103.113.217.33,103.248.223.31,2,0.1429,0.9506,1.0,1.0,1.0,0.8901
103.16.250.117,103.246.153.192,2,0.1538,0.8544,1.0,1.0,1.0,0.8901
103.143.187.162,103.199.138.55,2,0.1538,0.8545,1.0,1.0,1.0,0.8901
103.158.80.157,103.48.41.71,2,0.1818,0.8598,1.0,1.0,0.6667,0.8901
185.23.73.89,185.56.4.36,2,0.1429,0.9505,1.0,1.0,1.0,0.8901
185.37.128.174,185.94.136.164,2,0.1429,0.9498,1.0,1.0,1.0,0.89
103.130.183.167,103.196.200.208,3,0.1429,0.9709,1.0,1.0,0.9714,0.8899
103.162.147.202,103.37.147.187,2,0.1429,0.9493,1.0,1.0,1.0,0.8899
103.189.85.232,103.70.111.180,2,0.1429,0.9494,1.0,1.0,1.0,0.8899
185.145.11.211,185.39.132.50,1,0.1429,0.9497,1.0,1.0,1.0,0.8899
185.161.30.79,185.180.6.76,2,0.1667,0.8348,1.0,1.0,0.875,0.8899
185.39.28.43,185.53.230.203,2,0.1429,0.9496,1.0,1.0,1.0,0.8899
185.140.182.137,185.57.217.192,2,0.1667,0.741,1.0,1.0,1.0,0.8899
185.145.233.177,185.183.235.70,2,0.1429,0.949,1.0,1.0,1.0,0.8898
185.31.17.78,185.70.28.9,2,0.1429,0.9984,1.0,1.0,0.9333,0.8897
103.150.17.75,103.156.153.138,2,0.1538,0.9351,1.0,1.0,0.8889,0.8896
185.136.245.43,185.163.182.9,2,0.1538,0.9764,1.0,1.0,0.8333,0.8895
103.157.215.155,103.182.188.101,3,0.15,0.953,1.0,1.0,0.9091,0.8895
185.217.217.13,185.97.8.191,1,0.1429,0.9472,1.0,1.0,1.0,0.8894
103.104.142.43,103.116.62.147,2,0.1538,0.934,1.0,1.0,0.8889,0.8894
185.174.53.151,185.197.208.251,1,0.1429,0.9468,1.0,1.0,1.0,0.8894
103.245.242.240,103.42.9.178,3,0.15,0.8839,1.0,1.0,1.0,0.8893
103.19.118.100,103.46.221.230,2,0.1429,0.9466,1.0,1.0,1.0,0.8893
185.126.249.175,185.137.78.146,2,0.1429,0.9461,1.0,1.0,1.0,0.8892
103.21.27.190,103.37.234.114,2,0.1429,0.9459,1.0,1.0,1.0,0.8892
103.140.157.244,103.67.9.105,3,0.15,0.9576,1.0,1.0,0.9,0.889
103.202.79.181,103.24.236.198,2,0.1429,0.9451,1.0,1.0,1.0,0.889
103.136.62.22,103.66.55.220,3,0.15,0.8819,1.0,1.0,1.0,0.8889
185.138.182.146,185.203.219.110,2,0.1429,0.944,1.0,1.0,1.0,0.8888
103.119.87.208,103.188.140.35,2,0.1429,0.994,1.0,1.0,0.9333,0.8888
103.190.206.73,103.202.106.198,2,0.1538,0.9716,1.0,1.0,0.8333,0.8885
103.161.162.215,103.185.165.182,2,0.1538,0.8463,1.0,1.0,1.0,0.8885
103.78.106.238,103.81.159.161,2,0.1429,0.9419,1.0,1.0,1.0,0.8884
185.202.197.149,185.36.239.246,2,0.1429,0.9421,1.0,1.0,1.0,0.8884
103.148.145.39,103.231.138.230,3,0.1429,0.9991,1.0,1.0,0.9231,0.8883
103.144.148.160,103.21.27.190,2,0.1538,0.9521,1.0,1.0,0.8571,0.8882
103.123.13.34,103.33.15.241,3,0.1429,0.9412,1.0,1.0,1.0,0.8882
103.126.212.225,103.63.157.15,3,0.1364,0.9977,1.0,1.0,1.0,0.8882
103.107.12.197,103.190.153.229,2,0.1538,0.9516,1.0,1.0,0.8571,0.8881
103.107.84.127,103.187.221.71,3,0.1429,0.9405,1.0,1.0,1.0,0.8881
103.182.118.180,103.193.67.27,2,0.1429,0.9398,1.0,1.0,1.0,0.888
185.161.30.79,185.238.129.200,2,0.1538,0.9265,1.0,1.0,0.8889,0.8879
185.126.45.143,185.23.173.126,2,0.1429,0.9894,1.0,1.0,0.9333,0.8879
185.193.212.137,185.234.109.186,2,0.1538,0.926,1.0,1.0,0.8889,0.8878
103.154.224.169,103.67.1.99,3,0.1429,0.9388,1.0,1.0,1.0,0.8878
103.199.14.63,103.85.110.193,2,0.1538,0.8429,1.0,1.0,1.0,0.8878
103.182.192.62,103.54.233.152,2,0.1538,0.9366,1.0,1.0,0.875,0.8878
185.216.117.28,185.237.115.174,2,0.1429,0.9386,1.0,1.0,1.0,0.8877
103.124.246.102,103.70.56.151,3,0.1364,0.995,1.0,1.0,1.0,0.8876
185.103.125.152,185.205.26.237,1,0.1429,0.9381,1.0,1.0,1.0,0.8876
185.133.190.107,185.57.91.73,2,0.1429,0.9379,1.0,1.0,1.0,0.8876
103.103.101.47,103.71.126.100,2,0.1538,0.842,1.0,1.0,1.0,0.8876
185.205.26.237,185.231.217.176,1,0.1429,0.9375,1.0,1.0,1.0,0.8875
185.149.146.18,185.205.26.237,1,0.1429,0.9372,1.0,1.0,1.0,0.8874
185.149.146.18,185.231.78.214,1,0.1429,0.937,1.0,1.0,1.0,0.8874
185.151.101.50,185.222.206.165,2,0.1429,0.9369,1.0,1.0,1.0,0.8874
185.39.132.50,185.97.8.191,1,0.1429,0.937,1.0,1.0,1.0,0.8874
103.83.4.88,103.91.183.98,3,0.1364,0.9934,1.0,1.0,1.0,0.8873
185.192.27.102,185.96.245.164,2,0.1538,0.9152,1.0,1.0,0.9,0.8873
185.193.22.31,185.51.65.126,2,0.1538,0.9341,1.0,1.0,0.875,0.8873
185.109.8.24,185.49.210.34,2,0.1429,0.9362,1.0,1.0,1.0,0.8872
103.46.185.227,103.60.125.102,3,0.1364,0.9927,1.0,1.0,1.0,0.8872
185.111.24.84,185.171.70.194,2,0.25,0.811,1.0,1.0,0.5,0.8872
185.133.189.166,185.228.31.57,2,0.1429,0.9359,1.0,1.0,1.0,0.8872
103.103.101.47,103.119.101.46,2,0.1429,0.9353,1.0,1.0,1.0,0.8871
103.14.75.223,103.213.55.196,2,0.1429,0.9854,1.0,1.0,0.9333,0.8871
103.166.232.44,103.19.153.47,2,0.1538,0.9221,1.0,1.0,0.8889,0.887
103.189.148.210,103.21.11.254,3,0.1364,0.9919,1.0,1.0,1.0,0.887
103.51.200.19,103.95.210.51,2,0.1538,0.8385,1.0,1.0,1.0,0.8869
185.232.49.204,185.45.210.149,2,0.1538,0.9451,1.0,1.0,0.8571,0.8868
103.13.45.162,103.218.68.46,3,0.1364,0.9907,1.0,1.0,1.0,0.8868
103.153.46.248,103.95.158.207,2,0.1429,0.9342,1.0,1.0,1.0,0.8868
103.217.137.21,103.227.54.205,3,0.1364,0.9909,1.0,1.0,1.0,0.8868
103.207.50.134,103.93.217.96,3,0.15,0.8708,1.0,1.0,1.0,0.8867
103.130.188.197,103.30.37.187,3,0.15,0.9332,1.0,1.0,0.9167,0.8866
103.157.140.36,103.232.112.4,3,0.15,0.9857,1.0,1.0,0.8462,0.8866
185.161.105.75,185.225.60.214,1,0.1429,0.9328,1.0,1.0,1.0,0.8866
103.205.231.166,103.243.147.230,3,0.15,0.8704,1.0,1.0,1.0,0.8866
185.168.124.145,185.197.152.251,2,0.1667,0.8178,1.0,1.0,0.875,0.8865
103.131.192.243,103.78.106.238,2,0.1429,0.9325,1.0,1.0,1.0,0.8865
185.203.219.110,185.39.28.43,2,0.1429,0.9327,1.0,1.0,1.0,0.8865
103.112.146.235,103.43.53.186,3,0.15,0.9273,1.0,1.0,0.9231,0.8864
185.24.123.90,185.44.201.32,2,0.1429,0.9322,1.0,1.0,1.0,0.8864
185.169.78.127,185.172.217.254,2,0.1667,0.8308,1.0,1.0,0.8571,0.8864
103.179.178.180,103.34.117.80,3,0.1364,0.989,1.0,1.0,1.0,0.8864
103.39.2.80,103.60.125.102,3,0.1429,0.9313,1.0,1.0,1.0,0.8863
185.140.182.137,185.171.194.97,2,0.1667,0.8171,1.0,1.0,0.875,0.8863
103.189.85.232,103.248.15.132,2,0.1429,0.9315,1.0,1.0,1.0,0.8863
185.233.163.121,185.67.113.173,2,0.1538,0.835,1.0,1.0,1.0,0.8862
185.200.76.122,185.56.54.78,2,0.1538,0.9413,1.0,1.0,0.8571,0.8861
103.239.128.39,103.246.153.192,2,0.1429,0.9303,1.0,1.0,1.0,0.8861
103.158.224.246,103.22.141.103,3,0.1667,0.8054,1.0,1.0,0.8889,0.8861
103.213.164.244,103.61.176.96,2,0.1538,0.834,1.0,1.0,1.0,0.886
103.228.59.23,103.38.47.200,2,0.1538,0.9275,1.0,1.0,0.875,0.886
185.126.36.214,185.71.48.214,2,0.1667,0.7959,1.0,1.0,0.9,0.8858
103.168.238.38,103.189.61.125,3,0.1364,0.9859,1.0,1.0,1.0,0.8858
103.211.179.155,103.44.22.36,3,0.1429,0.9289,1.0,1.0,1.0,0.8858
103.35.232.81,103.49.110.249,2,0.1429,0.9284,1.0,1.0,1.0,0.8857
103.154.206.248,103.221.231.177,3,0.1429,0.9283,1.0,1.0,1.0,0.8857
103.58.143.99,103.99.57.186,2,0.1538,0.9397,1.0,1.0,0.8571,0.8857
185.20.40.68,185.75.184.50,2,0.1429,0.9286,1.0,1.0,1.0,0.8857
103.128.198.36,103.61.203.179,3,0.1429,0.9907,1.0,1.0,0.9167,0.8856
103.17.125.132,103.228.234.169,2,0.1429,0.9281,1.0,1.0,1.0,0.8856
185.114.99.96,185.70.87.52,1,0.1429,0.9274,1.0,1.0,1.0,0.8855
103.153.182.199,103.92.215.247,3,0.1429,0.9806,1.0,1.0,0.9286,0.8854
185.109.8.24,185.94.116.159,2,0.1429,0.9272,1.0,1.0,1.0,0.8854
103.171.157.97,103.209.41.5,3,0.1429,0.9897,1.0,1.0,0.9167,0.8854
103.165.226.127,103.93.129.179,2,0.1429,0.9271,1.0,1.0,1.0,0.8854
103.142.35.228,103.54.122.36,3,0.1364,0.9834,1.0,1.0,1.0,0.8853
103.166.139.148,103.246.148.23,3,0.1429,0.9948,1.0,1.0,0.9091,0.8853
185.212.43.140,185.86.59.124,2,0.1429,0.9262,1.0,1.0,1.0,0.8852
103.161.243.39,103.230.161.19,3,0.1429,0.9834,1.0,1.0,0.9231,0.8851
103.107.134.246,103.237.150.64,2,0.1429,0.9252,1.0,1.0,1.0,0.885
103.21.86.90,103.29.218.201,2,0.1429,0.9243,1.0,1.0,1.0,0.8849
103.90.6.198,103.92.215.247,2,0.1429,0.9245,1.0,1.0,1.0,0.8849
103.213.28.84,103.223.152.17,2,0.1429,0.9243,1.0,1.0,1.0,0.8849
185.103.40.78,185.39.132.50,1,0.1429,0.9236,1.0,1.0,1.0,0.8847
185.224.78.70,185.70.28.9,2,0.1538,0.9514,1.0,1.0,0.8333,0.8845
185.161.180.194,185.78.105.29,2,0.1429,0.997,1.0,1.0,0.9,0.8844
103.148.145.39,103.202.237.137,3,0.1364,0.9837,1.0,1.0,0.9936,0.8844
185.135.125.129,185.48.188.123,2,0.1667,0.9011,1.0,1.0,0.75,0.8844
103.152.193.4,103.81.65.34,3,0.15,0.9748,1.0,1.0,0.8462,0.8844
103.245.167.220,103.86.85.236,2,0.1429,0.9456,1.0,1.0,0.9682,0.8843
103.14.89.176,103.54.157.178,3,0.15,0.859,1.0,1.0,1.0,0.8843
103.247.52.157,103.75.203.18,2,0.1429,0.9209,1.0,1.0,1.0,0.8842
103.127.185.50,103.219.210.28,3,0.1364,0.978,1.0,1.0,1.0,0.8842
103.153.182.199,103.39.19.230,3,0.15,0.9121,1.0,1.0,0.9286,0.8842
103.24.236.198,103.86.24.147,2,0.1429,0.9208,1.0,1.0,1.0,0.8842
103.166.139.148,103.197.173.151,3,0.1429,0.9314,1.0,1.0,0.986,0.8842
103.161.243.39,103.182.13.28,3,0.15,0.9199,1.0,1.0,0.9167,0.884
103.115.57.191,103.134.8.17,3,0.1429,0.9414,1.0,1.0,0.9714,0.884
103.16.185.152,103.233.64.64,2,0.1429,0.9947,1.0,1.0,0.9,0.8839
185.234.182.178,185.36.96.89,2,0.1538,0.8984,1.0,1.0,0.9,0.8839
185.170.154.23,185.23.73.89,2,0.1429,0.9196,1.0,1.0,1.0,0.8839
185.128.177.196,185.180.6.76,2,0.1429,0.9192,1.0,1.0,1.0,0.8838
185.234.109.186,185.234.182.178,2,0.1429,0.9939,1.0,1.0,0.9,0.8838
103.185.165.182,103.245.167.220,2,0.1538,0.9298,1.0,1.0,0.8571,0.8838
103.195.146.158,103.88.116.121,3,0.15,0.8562,1.0,1.0,1.0,0.8837
103.211.253.181,103.237.12.27,2,0.1429,0.9179,1.0,1.0,1.0,0.8836
185.93.143.185,185.98.44.203,2,0.1538,0.9464,1.0,1.0,0.8333,0.8835
185.183.235.70,185.215.93.181,2,0.1429,0.9173,1.0,1.0,1.0,0.8835
185.128.55.132,185.76.201.240,2,0.1667,0.9588,1.0,1.0,0.6667,0.8834
103.128.103.152,103.149.178.61,2,0.1429,0.9172,1.0,1.0,1.0,0.8834
185.108.38.96,185.237.182.122,2,0.1429,0.9168,1.0,1.0,1.0,0.8834
103.238.87.139,103.250.133.174,2,0.1333,0.9997,1.0,1.0,1.0,0.8833
185.237.182.122,185.45.210.149,2,0.1333,0.9998,1.0,1.0,1.0,0.8833
103.110.106.83,103.174.77.10,2,0.1429,1.0,1.0,1.0,0.8889,0.8833
103.107.12.197,103.56.117.131,2,0.1429,0.916,1.0,1.0,1.0,0.8832
185.131.223.67,185.23.173.126,2,0.1538,0.945,1.0,1.0,0.8333,0.8832
103.123.239.91,103.28.80.157,3,0.15,0.9668,1.0,1.0,0.8492,0.8832
185.208.14.213,185.228.31.57,2,0.1429,0.9159,1.0,1.0,1.0,0.8832
185.133.189.166,185.92.44.231,2,0.1429,0.9161,1.0,1.0,1.0,0.8832
185.108.38.96,185.215.93.181,2,0.1333,0.9993,1.0,1.0,1.0,0.8832
103.166.253.131,103.73.110.104,2,0.1333,0.9988,1.0,1.0,1.0,0.8831
185.202.138.74,185.57.128.39,1,0.1429,0.915,1.0,1.0,1.0,0.883
103.248.15.132,103.32.86.120,2,0.1333,0.9981,1.0,1.0,1.0,0.883
103.162.147.202,103.21.27.190,2,0.1333,0.9984,1.0,1.0,1.0,0.883
103.165.226.127,103.56.117.131,2,0.1333,0.9983,1.0,1.0,1.0,0.883
103.181.20.176,103.195.84.203,2,0.1333,0.9984,1.0,1.0,1.0,0.883
103.11.2.46,103.217.116.248,2,0.1333,0.9984,1.0,1.0,1.0,0.883
185.66.250.45,185.74.236.130,2,0.1429,0.9902,1.0,1.0,0.9,0.883
185.174.53.151,185.231.217.176,1,0.1429,0.9149,1.0,1.0,1.0,0.883
103.108.94.120,103.99.10.38,2,0.1429,0.9145,1.0,1.0,1.0,0.8829
185.163.182.9,185.222.206.165,2,0.1538,0.9431,1.0,1.0,0.8333,0.8828
103.197.216.89,103.235.125.21,2,0.1333,0.9975,1.0,1.0,1.0,0.8828
103.229.252.193,103.230.117.229,2,0.1429,0.9141,1.0,1.0,1.0,0.8828
103.162.198.210,103.54.157.178,3,0.1667,0.7058,1.0,1.0,1.0,0.8828
103.156.238.147,103.17.214.45,3,0.1364,0.9707,1.0,1.0,1.0,0.8828
103.207.83.66,103.231.138.230,2,0.1333,0.9968,1.0,1.0,1.0,0.8827
103.199.29.155,103.99.141.82,2,0.1538,0.8168,1.0,1.0,1.0,0.8826
103.126.152.230,103.231.138.230,3,0.1429,0.9707,1.0,1.0,0.9231,0.8826
103.42.9.178,103.43.87.22,2,0.1333,0.9959,1.0,1.0,1.0,0.8825
103.31.33.130,103.69.237.19,2,0.1333,0.9957,1.0,1.0,1.0,0.8825
185.213.252.147,185.238.129.200,2,0.1429,0.9956,1.0,1.0,0.8889,0.8825
185.195.179.177,185.92.117.154,1,0.1429,0.9124,1.0,1.0,1.0,0.8825
103.166.139.148,103.95.136.9,3,0.1364,0.9839,1.0,1.0,0.9805,0.8825
103.81.159.161,103.82.222.8,2,0.1429,0.9118,1.0,1.0,1.0,0.8824
103.104.29.149,103.70.56.151,2,0.1333,0.9954,1.0,1.0,1.0,0.8824
185.109.8.24,185.145.233.177,2,0.1429,0.9116,1.0,1.0,1.0,0.8823
103.110.106.83,103.45.228.149,2,0.1333,0.9942,1.0,1.0,1.0,0.8822
185.168.91.211,185.203.219.110,2,0.1538,0.8147,1.0,1.0,1.0,0.8822
103.241.194.163,103.78.106.238,2,0.1429,0.9112,1.0,1.0,1.0,0.8822
185.220.29.20,185.238.129.200,2,0.1429,0.9942,1.0,1.0,0.8889,0.8822
103.11.2.46,103.209.123.35,2,0.1429,0.911,1.0,1.0,1.0,0.8822
103.63.112.65,103.83.71.137,3,0.1364,0.9669,1.0,1.0,1.0,0.882
103.144.64.63,103.228.59.23,2,0.1429,0.9098,1.0,1.0,1.0,0.882
185.168.124.145,185.190.38.205,2,0.1429,0.9852,1.0,1.0,0.9,0.882
103.125.137.75,103.24.236.198,2,0.1429,0.9102,1.0,1.0,1.0,0.882
185.126.36.214,185.55.210.114,1,0.1429,0.9102,1.0,1.0,1.0,0.882
103.63.13.48,103.63.157.15,3,0.1364,0.967,1.0,1.0,1.0,0.882
103.15.85.54,103.44.124.144,3,0.1429,0.9418,1.0,1.0,0.9571,0.8819
103.126.212.225,103.83.71.137,3,0.1364,0.9662,1.0,1.0,1.0,0.8819
185.113.179.151,185.61.61.30,2,0.1333,0.9928,1.0,1.0,1.0,0.8819
185.146.30.99,185.224.78.70,2,0.1429,0.9088,1.0,1.0,1.0,0.8818
103.109.158.148,103.225.237.93,2,0.1429,0.9088,1.0,1.0,1.0,0.8818
103.246.194.196,103.42.35.3,2,0.1333,0.9919,1.0,1.0,1.0,0.8817
185.180.176.122,185.203.219.110,2,0.1429,0.9084,1.0,1.0,1.0,0.8817
103.112.122.78,103.93.217.96,3,0.15,0.8454,1.0,1.0,1.0,0.8816
103.20.225.63,103.67.39.88,2,0.1429,0.9911,1.0,1.0,0.8889,0.8816
185.25.75.49,185.26.103.159,2,0.1333,0.991,1.0,1.0,1.0,0.8815
103.139.87.169,103.248.109.160,2,0.1333,0.9909,1.0,1.0,1.0,0.8815
103.123.130.7,103.58.83.89,2,0.1333,0.9903,1.0,1.0,1.0,0.8814
185.131.223.67,185.24.123.90,2,0.1333,0.9905,1.0,1.0,1.0,0.8814
103.119.87.208,103.90.6.198,2,0.1429,0.9821,1.0,1.0,0.9,0.8814
185.33.70.93,185.72.134.244,2,0.1429,0.9068,1.0,1.0,1.0,0.8814
103.73.110.104,103.97.54.209,2,0.1429,0.9064,1.0,1.0,1.0,0.8813
103.176.152.228,103.89.233.155,2,0.1429,0.9066,1.0,1.0,1.0,0.8813
185.137.78.146,185.190.82.251,2,0.1429,0.906,1.0,1.0,1.0,0.8812
185.141.254.223,185.91.243.149,2,0.1538,0.8934,1.0,1.0,0.8889,0.8812
185.111.13.75,185.168.124.145,2,0.1429,0.9808,1.0,1.0,0.9,0.8812
185.111.13.75,185.23.173.126,2,0.1429,0.9561,1.0,1.0,0.9333,0.8812
185.107.236.234,185.123.239.128,2,0.1429,0.9053,1.0,1.0,1.0,0.8811
103.31.33.130,103.45.68.94,3,0.15,0.9057,1.0,1.0,0.9167,0.8811
103.18.251.10,103.37.147.187,2,0.1538,0.8095,1.0,1.0,1.0,0.8811
185.212.43.140,185.238.110.49,2,0.1333,0.9886,1.0,1.0,1.0,0.8811
185.107.236.234,185.94.249.242,2,0.1429,0.9886,1.0,1.0,0.8889,0.8811
103.20.225.63,103.59.1.31,2,0.1538,0.8923,1.0,1.0,0.8889,0.881
103.122.63.237,103.232.112.4,2,0.1429,0.905,1.0,1.0,1.0,0.881
103.33.15.241,103.67.39.88,2,0.1333,0.9884,1.0,1.0,1.0,0.881
103.133.99.17,103.193.128.157,2,0.1429,0.9989,1.0,1.0,0.875,0.881
103.141.182.241,103.195.174.81,2,0.1333,0.9879,1.0,1.0,1.0,0.8809
185.136.245.43,185.24.123.90,2,0.1333,0.9878,1.0,1.0,1.0,0.8809
103.127.241.174,103.137.219.128,2,0.1333,0.9871,1.0,1.0,1.0,0.8808
185.214.253.81,185.52.220.178,2,0.1333,0.9871,1.0,1.0,1.0,0.8808
185.137.238.82,185.202.138.74,1,0.1429,0.9033,1.0,1.0,1.0,0.8807
103.195.84.203,103.228.59.23,2,0.1538,0.9011,1.0,1.0,0.875,0.8807
103.207.79.44,103.90.6.198,2,0.1333,0.9869,1.0,1.0,1.0,0.8807
185.147.60.161,185.52.220.178,2,0.1333,0.9863,1.0,1.0,1.0,0.8806
185.52.220.178,185.71.48.172,2,0.1538,0.807,1.0,1.0,1.0,0.8806
103.190.153.229,103.70.189.106,2,0.1538,0.9141,1.0,1.0,0.8571,0.8806
185.108.38.96,185.235.57.115,2,0.1667,0.8014,1.0,1.0,0.8571,0.8805
185.237.182.122,185.42.56.187,2,0.1429,0.9023,1.0,1.0,1.0,0.8805
103.232.52.97,103.247.23.181,2,0.1333,0.9859,1.0,1.0,1.0,0.8805
185.134.139.250,185.59.2.249,2,0.1538,0.9731,1.0,1.0,0.7778,0.8805
185.112.102.38,185.128.187.230,2,0.1667,0.819,1.0,1.0,0.8333,0.8805
185.145.233.177,185.147.72.196,2,0.1429,0.9019,1.0,1.0,1.0,0.8804
103.144.54.179,103.82.65.50,2,0.1429,0.9517,1.0,1.0,0.9333,0.8803
103.213.54.202,103.31.33.130,3,0.1364,0.9585,1.0,1.0,1.0,0.8803
103.107.21.200,103.131.147.191,2,0.1333,0.9846,1.0,1.0,1.0,0.8803
103.150.83.197,103.66.111.75,2,0.1538,0.8885,1.0,1.0,0.8889,0.8803
103.174.79.128,103.230.117.229,2,0.1333,0.9848,1.0,1.0,1.0,0.8803
103.232.112.4,103.49.194.187,2,0.1429,0.9014,1.0,1.0,1.0,0.8803
185.138.225.178,185.51.120.29,2,0.1429,0.9765,1.0,1.0,0.9,0.8803
185.145.233.177,185.172.134.196,2,0.1538,0.8049,1.0,1.0,1.0,0.8802
103.16.120.161,103.39.4.246,2,0.1538,0.888,1.0,1.0,0.8889,0.8802
103.108.61.170,103.72.226.141,2,0.1333,0.9836,1.0,1.0,1.0,0.8801
103.111.227.78,103.178.254.75,2,0.1333,0.9838,1.0,1.0,1.0,0.8801
185.233.163.121,185.24.199.124,2,0.1333,0.9836,1.0,1.0,1.0,0.8801
185.132.134.169,185.70.87.52,1,0.1429,0.9004,1.0,1.0,1.0,0.8801
103.166.241.191,103.184.225.82,3,0.1429,0.9753,1.0,1.0,0.9,0.8801
103.170.137.216,103.74.4.118,2,0.1429,0.9,1.0,1.0,1.0,0.88
185.128.187.230,185.154.253.86,2,0.1667,0.8163,1.0,1.0,0.8333,0.8799
185.123.32.60,185.216.161.47,2,0.1538,0.9283,1.0,1.0,0.8333,0.8799
103.189.167.34,103.56.227.157,2,0.1333,0.9821,1.0,1.0,1.0,0.8798
103.193.128.157,103.26.206.52,2,0.1333,0.993,1.0,1.0,0.9861,0.8798
185.239.18.230,185.94.116.159,2,0.1429,0.8991,1.0,1.0,1.0,0.8798
103.209.41.5,103.94.205.235,3,0.1429,0.9614,1.0,1.0,0.9167,0.8798
103.228.59.23,103.58.83.89,2,0.1429,0.9927,1.0,1.0,0.875,0.8798
185.145.233.177,185.225.60.214,2,0.1667,0.878,1.0,1.0,0.75,0.8798
185.224.78.70,185.54.92.42,2,0.1333,0.9819,1.0,1.0,1.0,0.8797
103.137.127.207,103.21.86.90,3,0.15,0.8888,1.0,1.0,0.9286,0.8796
185.120.230.46,185.193.95.46,2,0.1333,0.9814,1.0,1.0,1.0,0.8796
185.193.95.46,185.36.239.246,2,0.1333,0.9814,1.0,1.0,1.0,0.8796
103.227.82.67,103.70.183.129,2,0.1333,0.9806,1.0,1.0,1.0,0.8795
103.127.92.40,103.130.35.32,2,0.1333,0.981,1.0,1.0,1.0,0.8795
103.171.247.13,103.24.236.198,2,0.1333,0.9804,1.0,1.0,1.0,0.8794
103.115.57.191,103.182.118.180,2,0.1429,0.9713,1.0,1.0,0.9,0.8793
103.140.157.244,103.207.161.169,3,0.15,0.8738,1.0,1.0,0.9462,0.8792
103.176.233.183,103.43.53.186,3,0.1429,0.9538,1.0,1.0,0.9231,0.8792
103.107.14.79,103.116.44.179,2,0.1429,0.8958,1.0,1.0,1.0,0.8792
103.25.161.66,103.81.216.8,3,0.15,0.8961,1.0,1.0,0.9167,0.8792
103.181.253.52,103.23.237.138,2,0.1429,0.8957,1.0,1.0,1.0,0.8791
103.166.241.191,103.181.31.70,3,0.1429,0.9705,1.0,1.0,0.9,0.8791
103.206.120.121,103.214.158.57,2,0.1429,0.8951,1.0,1.0,1.0,0.879
185.183.235.70,185.234.182.178,2,0.1429,0.9699,1.0,1.0,0.9,0.879
103.125.137.75,103.172.139.205,2,0.1429,0.9702,1.0,1.0,0.9,0.879
185.136.245.43,185.37.128.174,2,0.1333,0.9784,1.0,1.0,1.0,0.879
185.167.5.217,185.235.57.115,2,0.1667,0.9008,1.0,1.0,0.7143,0.879
185.42.56.187,185.49.210.34,2,0.1333,0.9777,1.0,1.0,1.0,0.8789
103.127.241.174,103.213.164.244,2,0.1333,0.9778,1.0,1.0,1.0,0.8789
185.154.253.86,185.56.177.59,2,0.1429,0.9444,1.0,1.0,0.9333,0.8789
103.11.30.176,103.198.11.143,3,0.1429,0.9696,1.0,1.0,0.9,0.8789
103.181.20.176,103.43.246.52,2,0.1429,0.8944,1.0,1.0,1.0,0.8789
